name	VT	intercept	coef_X2	MSE	SigmaSqr	LogLike	AIC	FPE	CoV
wm-rh-inferiortemporal	2.0738195654053353	-62.199962454934315	0.03334117069456236	107065.27771553177	107064.14335850815	-114.35255793287558	234.70511586575117	1927174.9988795721	0.04268708237424792
wm-rh-isthmuscingulate	1.667451618339618	-48.204334182001254	0.03459132143686404	59782.14313704229	59782.14026157139	-109.6907147679556	225.3814295359112	1076078.576466761	0.03658192575279391
wm-rh-lateraloccipital	1.9723602386224857	-56.61462672871534	0.034838351016135735	69462.82263277518	69462.54289230998	-110.89138820238033	227.78277640476065	1250330.8073899534	0.035366387469359425
wm-rh-lateralorbitofrontal	2.021614215059398	-63.10506644226389	0.03203568792545387	92965.56256566603	92964.55569688094	-113.22288096960156	232.44576193920312	1673380.1261819883	0.040164775422212924
wm-rh-lingual	1.982720455623279	-58.63703946117033	0.033813447504222036	57731.44606742903	57731.3792728085	-109.41147374664877	224.82294749329753	1039166.0292137226	0.03273065056892814
wm-rh-medialorbitofrontal	1.90618276872747	-55.612418423904	0.034276207055007904	73290.44475400887	73290.16946541554	-111.32049694570303	228.64099389140605	1319228.0055721595	0.03738586248483743
wm-rh-middletemporal	1.9596596100029817	-57.737887245576005	0.03394061860400226	55588.239211508735	55587.944368823664	-109.10882669044122	224.21765338088244	1000588.3058071573	0.03152321906954882
wm-rh-parahippocampal	1.7365023616417656	-56.786657494061295	0.03057940787980641	231182.1965346903	231181.32354151338	-120.5107040207656	247.0214080415312	4161279.5376244257	0.07599194869698217
wm-rh-paracentral	1.8036844742790719	-55.01656388272572	0.032784389772575355	53577.81284830907	53577.811777432566	-108.81413908700836	223.6282781740167	964400.6312695632	0.03315836836913093
wm-rh-parsopercularis	1.8739505136900805	-55.07518930909056	0.03402531225400203	101010.86128042814	101010.70528671316	-113.88688160672892	233.77376321345784	1818195.5030477066	0.04382752023737599
wm-rh-parsorbitalis	2.153628410013862	-60.27995110571013	0.03572710943705221	275189.1692781294	275187.1775989377	-121.90472152150963	249.80944304301926	4953405.0470063295	0.06616226946704357
wm-rh-parstriangularis	1.9510651825841536	-53.71532193642169	0.03632232130887097	43546.96922986232	43546.96911336031	-107.15577962439181	220.31155924878362	783845.4461375216	0.027440421811549664
wm-rh-pericalcarine	2.0073365949116364	-56.775095780292894	0.03535593498035805	77733.16479041304	77733.05661942167	-111.79131335226151	229.58262670452302	1399196.9662274348	0.03688314655946626
wm-rh-postcentral	1.9267025854782083	-55.908903343485406	0.03446146266975045	65029.68815397277	65029.284664796	-110.36380381016865	226.7276076203373	1170534.38677151	0.035461989967785754
wm-rh-posteriorcingulate	1.7648442814493832	-53.3173502963626	0.03310074997424964	124450.7227440013	124450.66255466407	-115.5563369699068	237.1126739398136	2240113.0093920236	0.05132874207500763
wm-rh-precentral	1.826951427070011	-52.62351342521607	0.03471739737914525	43122.12636823308	43121.99723370064	-107.07734567406963	220.15469134813927	776198.2746281956	0.02950880207945889
wm-rh-precuneus	1.8285163111103717	-52.41945456507016	0.03488239864916123	55847.25967435161	55847.091047174814	-109.14601941171274	224.2920388234255	1005250.674138329	0.03359166217787688
wm-rh-rostralanteriorcingulate	1.740565174560696	-60.14971040212024	0.028937216204773984	243849.4633933992	243849.4609634069	-120.93746740591438	247.87493481182875	4389290.341081185	0.07396693653110313
wm-rh-rostralmiddlefrontal	1.9775265793269756	-52.79913915002288	0.037453765556821936	38422.937783891044	38422.87154381889	-106.15429399421222	218.30858798842445	691612.8801100388	0.025598074817769316
wm-rh-superiorfrontal	1.8892478595988327	-52.189730359913305	0.03619960951263997	38823.129725388244	38823.09336977627	-106.23718739436553	218.47437478873107	698816.3350569884	0.026950522112650286
wm-rh-superiorparietal	1.854125172948274	-53.48906050151676	0.034663633190859605	33786.43031482487	33786.38240246851	-105.12553136026507	216.25106272053014	608155.7456668477	0.025915381312566942
wm-rh-superiortemporal	1.960406128985192	-57.644124976597126	0.03400877591222167	69564.5796962718	69564.37147637276	-110.90309997309515	227.8061999461903	1252162.4345328924	0.035692653501070294
wm-rh-supramarginal	1.9073251368327369	-55.73174431166961	0.034223316718141265	98674.52161293251	98674.11716847854	-113.69966885184178	233.39933770368356	1776141.389032785	0.042808468717006824
wm-rh-frontalpole	2.228640342805	-63.888635985560754	0.03488320431991516	646733.0288592248	646729.2873010449	-128.74052161848124	263.4810432369625	11641194.519466044	0.09995026019344143
wm-rh-temporalpole	1.733192873299094	-46.538188028243304	0.037242379790275594	416576.5394525995	416576.45864128944	-125.22162027247973	256.44324054495945	7498377.710146791	0.09587496776574805
wm-rh-transversetemporal	2.123249464769782	-57.35349971032168	0.03702039937394909	219173.2617298237	219172.29505455022	-120.0839548844292	246.1679097688584	3945118.7111368263	0.060633808098996135
wm-rh-insula	1.7617964562895172	-49.4979733760079	0.035593304859295016	140599.84060235534	140599.65369258454	-116.53240019920328	239.06480039840656	2530797.130842396	0.05484144351137375
Left-UnsegmentedWhiteMatter	1.5731981390765613	-53.79135503301791	0.029246300601851537	26869.85501864667	26869.838614981978	-103.29309836827913	212.58619673655826	483657.39033564006	0.025527642330640143
Right-UnsegmentedWhiteMatter	1.527962222387882	-51.28189145295862	0.02979535619877626	17236.546503712743	17236.546305704942	-99.74131416251531	205.48262832503062	310257.8370668294	0.02078282952436194
